package,vuln_count,cvss_max,has_vuln,has_high_vuln,advisory_ids
requests-toolbelt,0,,0,0,
mako,7,8.0,1,1,GHSA-2h4p-vjrc-8xpq;GHSA-7q8x-38mc-p84f;GHSA-v92g-xgxw-vvmm;GHSA-v973-fxgf-6xhp;PYSEC-2010-1;PYSEC-2022-260;PYSEC-2026-88
deprecated,0,,0,0,
joblib,2,9.8,1,1,GHSA-6hrg-qmvc-2xh8;PYSEC-2022-288
watchfiles,0,,0,0,
alembic,0,,0,0,
opentelemetry-exporter-otlp-proto-common,0,,0,0,
pyarrow,9,9.8,1,1,GHSA-5wvp-7f3h-6wmm;GHSA-8cw2-jv5c-c825;GHSA-cjw4-2w9r-r8mv;GHSA-rgxp-2hwp-jwgg;PYSEC-2019-195;PYSEC-2019-196;PYSEC-2023-238;PYSEC-2024-161;PYSEC-2026-113
lxml,14,8.2,1,1,GHSA-55x5-fj6c-h6m8;GHSA-57qw-cc2g-pv5p;GHSA-jq4v-f5q6-mjqq;GHSA-pgww-xf46-h92r;GHSA-vfmq-68hx-4jfw;GHSA-wrxv-2j5q-m38w;GHSA-xp26-p53h-6h2p;PYSEC-2014-9;PYSEC-2018-12;PYSEC-2020-62;PYSEC-2021-19;PYSEC-2021-852;PYSEC-2022-230;PYSEC-2026-87
networkx,0,,0,0,
opentelemetry-exporter-otlp-proto-http,0,,0,0,
