package,in_degree_centrality,out_degree_centrality,structural_metric,structural,pagerank,in_degree_centrality_norm,structural_norm,pagerank_norm,criticality_index,risk_score,combined_score,criticality_rank
azure-nspkg,0.00158156,0.00000000,katz,0.00239653,0.00048342,0.00320954,0.00189945,0.00390740,0.00303015,0.33742900,0.17022958,627
pyrfc3339,0.00158156,0.00000000,katz,0.00245689,0.00016511,0.00320954,0.00201099,0.00044400,0.00168383,0.33853000,0.17010692,628
pylint,0.00112969,0.00180750,katz,0.00209405,0.00016840,0.00229253,0.00134049,0.00047980,0.00123422,0.33833200,0.16978311,629
funcy,0.00180750,0.00000000,katz,0.00265411,0.00021234,0.00366804,0.00237545,0.00095789,0.00213158,0.33685200,0.16949179,630
polars-runtime-32,0.00112969,0.00000000,katz,0.00210774,0.00035650,0.00229253,0.00136578,0.00252643,0.00206173,0.33673600,0.16939886,631
fastavro,0.00112969,0.00000000,katz,0.00210911,0.00013337,0.00229253,0.00136831,0.00009858,0.00109147,0.33689500,0.16899324,632
oscrypto,0.00135563,0.00022594,katz,0.00224598,0.00028733,0.00275103,0.00162124,0.00177381,0.00196471,0.33602100,0.16899286,633
cmeel,0.00271125,0.00022594,katz,0.00341469,0.00066914,0.00550206,0.00378097,0.00592829,0.00507017,0.33236000,0.16871509,634
db-dtypes,0.00112969,0.00180750,katz,0.00209405,0.00013146,0.00229253,0.00134049,0.00007779,0.00107342,0.33624000,0.16865671,635
catalogue,0.00112969,0.00000000,katz,0.00212416,0.00014760,0.00229253,0.00139613,0.00025348,0.00116317,0.33587000,0.16851659,636
aenum,0.00112969,0.00000000,katz,0.00205299,0.00015775,0.00229253,0.00126461,0.00036391,0.00116131,0.33557700,0.16836916,637
playwright,0.00090375,0.00000000,katz,0.00192981,0.00015685,0.00183402,0.00103698,0.00035414,0.00096311,0.33517400,0.16806855,638
jupyterlab-server,0.00112969,0.01333032,katz,0.00220425,0.00012990,0.00229253,0.00154412,0.00006083,0.00113790,0.33479200,0.16796495,639
seaborn,0.00112969,0.00271125,katz,0.00208341,0.00013898,0.00229253,0.00132082,0.00015969,0.00109929,0.33413600,0.16761765,640
configargparse,0.00135563,0.00000000,katz,0.00220355,0.00014405,0.00275103,0.00154283,0.00021483,0.00131368,0.33391500,0.16761434,641
jupyter-lsp,0.00112969,0.01400813,katz,0.00220425,0.00012990,0.00229253,0.00154412,0.00006083,0.00113790,0.33357500,0.16735645,642
imageio,0.00112969,0.00045188,katz,0.00209405,0.00016825,0.00229253,0.00134049,0.00047808,0.00123354,0.33335300,0.16729327,643
pybase64,0.00112969,0.00000000,katz,0.00208037,0.00013483,0.00229253,0.00131520,0.00011454,0.00107927,0.33248900,0.16678413,644
posthog,0.00112969,0.00180750,katz,0.00206668,0.00013283,0.00229253,0.00128991,0.00009274,0.00106170,0.33233900,0.16670035,645
installer,0.00090375,0.00000000,katz,0.00194350,0.00013368,0.00183402,0.00106228,0.00010196,0.00087109,0.33210000,0.16648554,646
entrypoints,0.00112969,0.00000000,katz,0.00210911,0.00013489,0.00229253,0.00136831,0.00011511,0.00109809,0.33144900,0.16627354,647
psycopg,0.00090375,0.00022594,katz,0.00191613,0.00014514,0.00183402,0.00101169,0.00022667,0.00090327,0.33158200,0.16624263,648
tldextract,0.00112969,0.00158156,katz,0.00206668,0.00015181,0.00229253,0.00128991,0.00029930,0.00114432,0.33057400,0.16585916,649
ninja,0.00112969,0.00000000,katz,0.00206668,0.00015014,0.00229253,0.00128991,0.00028105,0.00113702,0.33010600,0.16562151,650
ansible-core,0.00135563,0.00000000,katz,0.00225966,0.00015805,0.00275103,0.00164653,0.00036718,0.00141092,0.32980600,0.16560846,651
flask-sqlalchemy,0.00112969,0.00271125,katz,0.00212280,0.00013647,0.00229253,0.00139361,0.00013229,0.00111381,0.33005000,0.16558190,652
livekit,0.00180750,0.00090375,katz,0.00254571,0.00015584,0.00366804,0.00217514,0.00034305,0.00181553,0.32896800,0.16539176,653
prefect,0.00135563,0.00000000,katz,0.00220355,0.00012958,0.00275103,0.00154283,0.00005733,0.00125068,0.32901100,0.16513084,654
opentelemetry-instrumentation-fastapi,0.00090375,0.00000000,katz,0.00195856,0.00013079,0.00183402,0.00109010,0.00007054,0.00086825,0.32933400,0.16510113,655
python-docx,0.00090375,0.00045188,katz,0.00191613,0.00019427,0.00183402,0.00101169,0.00076130,0.00111712,0.32896500,0.16504106,656
frozendict,0.00112969,0.00000000,katz,0.00208037,0.00018806,0.00229253,0.00131520,0.00069363,0.00131090,0.32858100,0.16494595,657
publication,0.00158156,0.00000000,katz,0.00251875,0.00019530,0.00320954,0.00212531,0.00077248,0.00185523,0.32794800,0.16490162,658
pyelftools,0.00135563,0.00000000,katz,0.00220355,0.00019795,0.00275103,0.00154283,0.00080134,0.00154828,0.32796100,0.16475464,659
livekit-protocol,0.00180750,0.00045188,katz,0.00264973,0.00014234,0.00366804,0.00236736,0.00019617,0.00182406,0.32745600,0.16464003,660
opentelemetry-instrumentation-asgi,0.00090375,0.00000000,katz,0.00195856,0.00013079,0.00183402,0.00109010,0.00007054,0.00086825,0.32771900,0.16429363,661
mock,0.00112969,0.00000000,katz,0.00220425,0.00012966,0.00229253,0.00154412,0.00005822,0.00113686,0.32719200,0.16416443,662
service-identity,0.00135563,0.00158156,katz,0.00221723,0.00015103,0.00275103,0.00156812,0.00029072,0.00135289,0.32696400,0.16415844,663
triton,0.00090375,0.00000000,katz,0.00192981,0.00013653,0.00183402,0.00103698,0.00013302,0.00087466,0.32701800,0.16394633,664
flask-login,0.00112969,0.00203344,katz,0.00210911,0.00013234,0.00229253,0.00136831,0.00008741,0.00108700,0.32670500,0.16389600,665
inflect,0.00112969,0.00112969,katz,0.00208037,0.00015002,0.00229253,0.00131520,0.00027975,0.00114535,0.32608000,0.16361268,666
scramp,0.00090375,0.00022594,katz,0.00192981,0.00017430,0.00183402,0.00103698,0.00054397,0.00103904,0.32542500,0.16323202,667
strenum,0.00112969,0.00000000,katz,0.00212416,0.00014866,0.00229253,0.00139613,0.00026500,0.00116778,0.32504900,0.16310839,668
ciso8601,0.00135563,0.00000000,katz,0.00223229,0.00016641,0.00275103,0.00159594,0.00045806,0.00142956,0.32468100,0.16305528,669
polars,0.00090375,0.00022594,katz,0.00191613,0.00019270,0.00183402,0.00101169,0.00074418,0.00111027,0.32441700,0.16276363,670
pydantic-graph,0.00067781,0.00293719,katz,0.00182169,0.00013461,0.00137552,0.00083717,0.00011206,0.00068171,0.32468900,0.16268536,671
pbs-installer,0.00090375,0.00000000,katz,0.00194350,0.00013368,0.00183402,0.00106228,0.00010196,0.00087109,0.32442800,0.16264954,672
bidict,0.00112969,0.00000000,katz,0.00210774,0.00016555,0.00229253,0.00136578,0.00044880,0.00123068,0.32393300,0.16258184,673
apprise,0.00135563,0.00225938,katz,0.00220355,0.00012958,0.00275103,0.00154283,0.00005733,0.00125068,0.32388400,0.16256734,674
