package,in_degree_centrality,out_degree_centrality,betweenness,pagerank,in_degree_centrality_norm,betweenness_norm,pagerank_norm,criticality_index,risk_score,combined_score,criticality_rank
eval-type-backport,0.00723000,0.00000000,0.00000000,0.00021936,0.01467217,0.00000000,0.00103422,0.00408173,0.49460941,0.25044450,289
keyring,0.00451875,0.00293719,0.00000000,0.00016557,0.00917011,0.00000000,0.00044893,0.00247210,0.49630069,0.25005196,290
rfc3339-validator,0.00587438,0.00022594,0.00000000,0.00017877,0.01192114,0.00000000,0.00059256,0.00321731,0.49432467,0.24963719,291
sphinx,0.00564844,0.00474469,0.00000000,0.00023557,0.01146263,0.00000000,0.00121065,0.00334992,0.49307132,0.24911252,292
apache-airflow-task-sdk,0.00948938,0.02869408,0.00000003,0.00015874,0.01925722,0.00416089,0.00037463,0.00642047,0.48783334,0.24885549,293
ml-dtypes,0.00655219,0.00022594,0.00000000,0.00046670,0.01329665,0.00000000,0.00372551,0.00481437,0.49006788,0.24873730,294
asn1crypto,0.00451875,0.00000000,0.00000000,0.00075216,0.00917011,0.00000000,0.00683155,0.00502515,0.48924776,0.24848938,295
databricks-sdk,0.00519657,0.00000000,0.00000000,0.00018889,0.01054562,0.00000000,0.00070276,0.00291751,0.49213724,0.24831286,296
graphql-core,0.00564844,0.00022594,0.00000000,0.00038964,0.01146263,0.00000000,0.00288699,0.00402045,0.48931217,0.24774874,297
pycryptodome,0.00519657,0.00000000,0.00000000,0.00056811,0.01054562,0.00000000,0.00482892,0.00456797,0.48841001,0.24771883,298
wsproto,0.00564844,0.00022594,0.00000000,0.00039822,0.01146263,0.00000000,0.00298044,0.00405783,0.48911800,0.24768041,299
beartype,0.00542250,0.00000000,0.00000000,0.00031190,0.01100413,0.00000000,0.00204120,0.00356751,0.48907751,0.24728300,300
snowballstemmer,0.00655219,0.00000000,0.00000000,0.00038445,0.01329665,0.00000000,0.00283052,0.00445637,0.48770390,0.24727993,301
